SR Number,Status,Sub Status
1-737422330,Accepted,In Progress
1-737422330,Queued,Awaiting Assignment
1-737422330,Completed,Resolved
1-737422330,Completed,Closed
1-737422341,Queued,Awaiting Assignment
1-737422341,Accepted,In Progress
1-737422341,Queued,Awaiting Assignment
1-737422341,Accepted,In Progress
1-737422341,Queued,Awaiting Assignment
1-737422341,Completed,Resolved
1-737422341,Completed,Closed
1-737422353,Queued,Awaiting Assignment
1-737422353,Accepted,In Progress
1-737422353,Queued,Awaiting Assignment
1-737422353,Accepted,In Progress
1-737422353,Queued,Awaiting Assignment
1-737422353,Completed,Resolved
1-737422353,Completed,Closed
1-737422400,Queued,Awaiting Assignment
1-737422400,Accepted,In Progress
1-737422400,Completed,Resolved
1-737422400,Completed,Closed
1-737422447,Queued,Awaiting Assignment
1-737422447,Accepted,In Progress
1-737422447,Completed,Resolved
1-737422447,Completed,Closed
1-737422470,Queued,Awaiting Assignment
1-737422470,Accepted,In Progress
1-737422470,Completed,Resolved
1-737422470,Completed,Closed
1-737422481,Queued,Awaiting Assignment
1-737422481,Accepted,In Progress
1-737422481,Completed,Resolved
1-737422481,Completed,Closed
1-737422559,Queued,Awaiting Assignment
1-737422559,Accepted,In Progress
1-737422559,Completed,Resolved
1-737422559,Completed,Closed
1-737422583,Queued,Awaiting Assignment
1-737422583,Accepted,In Progress
1-737422583,Queued,Awaiting Assignment
1-737422583,Accepted,In Progress
1-737422583,Completed,Resolved
1-737422583,Completed,Closed
1-737422607,Queued,Awaiting Assignment
1-737422607,Accepted,In Progress
1-737422607,Completed,Resolved
1-737422607,Completed,Closed
1-737422629,Queued,Awaiting Assignment
1-737422629,Accepted,In Progress
1-737422629,Queued,Awaiting Assignment
1-737422629,Accepted,In Progress
1-737422629,Completed,Resolved
1-737422629,Completed,Closed
1-737422662,Queued,Awaiting Assignment
1-737422662,Accepted,In Progress
1-737422662,Queued,Awaiting Assignment
1-737422662,Accepted,In Progress
1-737422662,Completed,Resolved
1-737422662,Completed,Closed
1-737422696,Queued,Awaiting Assignment
1-737422696,Accepted,In Progress
1-737422696,Queued,Awaiting Assignment
1-737422696,Accepted,In Progress
1-737422696,Completed,Resolved
1-737422696,Completed,Closed
1-737422718,Queued,Awaiting Assignment
1-737422718,Accepted,In Progress
1-737422718,Queued,Awaiting Assignment
1-737422718,Accepted,In Progress
1-737422718,Completed,Resolved
1-737422718,Completed,Closed
1-737422740,Queued,Awaiting Assignment
1-737422740,Accepted,In Progress
1-737422740,Queued,Awaiting Assignment
1-737422740,Accepted,In Progress
1-737422740,Queued,Awaiting Assignment
1-737422740,Completed,Resolved
1-737422740,Completed,Closed
1-737422751,Queued,Awaiting Assignment
1-737422751,Accepted,In Progress
1-737422751,Queued,Awaiting Assignment
1-737422751,Accepted,In Progress
1-737422751,Queued,Awaiting Assignment
1-737422751,Completed,Resolved
1-737422751,Completed,Closed
1-737422774,Queued,Awaiting Assignment
1-737422774,Accepted,In Progress
1-737422774,Queued,Awaiting Assignment
1-737422774,Accepted,In Progress
1-737422774,Completed,Resolved
1-737422774,Completed,Closed
1-737422808,Queued,Awaiting Assignment
1-737422808,Accepted,In Progress
1-737422808,Queued,Awaiting Assignment
1-737422808,Accepted,In Progress
1-737422808,Completed,Resolved
1-737422808,Completed,Closed
1-737422819,Queued,Awaiting Assignment
1-737422819,Accepted,In Progress
1-737422819,Completed,Resolved
1-737422819,Completed,Closed
1-737422898,Queued,Awaiting Assignment
1-737422898,Accepted,In Progress
1-737422898,Completed,Resolved
1-737422898,Completed,Closed
1-737425019,Accepted,In Progress
1-737425019,Accepted,In Progress
1-737425019,Accepted,Wait
1-737425019,Accepted,In Progress
1-737425019,Completed,In Call
1-737425034,Accepted,In Progress
1-737425034,Accepted,In Progress
1-737425034,Accepted,Wait
1-737425034,Accepted,In Progress
1-737425034,Completed,In Call
1-737425061,Accepted,In Progress
1-737425061,Accepted,In Progress
1-737425061,Accepted,Wait
1-737425061,Accepted,In Progress
1-737425061,Completed,In Call
1-737425122,Accepted,In Progress
1-737425122,Accepted,In Progress
1-737425122,Accepted,Wait - User
1-737425122,Accepted,In Progress
1-737425122,Completed,In Call
1-737425231,Accepted,In Progress
1-737425231,Accepted,In Progress
1-737425231,Queued,Awaiting Assignment
1-737425231,Queued,Awaiting Assignment
1-737425231,Accepted,In Progress
1-737425231,Queued,Awaiting Assignment
1-737425231,Accepted,In Progress
1-737425231,Accepted,Assigned
1-737425231,Accepted,In Progress
1-737425231,Accepted,Wait
1-737425231,Accepted,In Progress
1-737425231,Completed,Resolved
1-737425231,Completed,Closed
1-737425713,Accepted,In Progress
1-737425713,Accepted,In Progress
1-737425713,Completed,In Call
1-737425713,Accepted,In Progress
1-737425713,Completed,Resolved
1-737425713,Completed,Closed
1-737425713,Queued,Awaiting Assignment
1-737425713,Accepted,In Progress
1-737425713,Queued,Awaiting Assignment
1-737425713,Accepted,In Progress
1-737425713,Accepted,Assigned
1-737425713,Accepted,In Progress
1-737425713,Accepted,In Progress
1-737425713,Accepted,Wait
1-737425713,Queued,Awaiting Assignment
1-737425713,Accepted,In Progress
1-737425713,Completed,Resolved
1-737425713,Completed,Closed
1-737425721,Accepted,In Progress
1-737425721,Accepted,In Progress
1-737425721,Completed,In Call
1-737425758,Accepted,In Progress
1-737425758,Accepted,In Progress
1-737425758,Completed,In Call
1-737460077,Accepted,In Progress
1-737460077,Accepted,In Progress
1-737460077,Accepted,Wait
1-737460077,Queued,Awaiting Assignment
1-737460077,Accepted,In Progress
1-737460077,Queued,Awaiting Assignment
1-737460077,Accepted,In Progress
1-737460077,Accepted,Wait - User
1-737460077,Completed,Resolved
1-737460077,Completed,Closed
1-737460186,Accepted,In Progress
1-737460186,Accepted,In Progress
1-737460186,Queued,Awaiting Assignment
1-737460186,Accepted,In Progress
1-737460186,Completed,Resolved
1-737460186,Completed,Closed
1-737460240,Accepted,In Progress
1-737460240,Accepted,In Progress
1-737460240,Queued,Awaiting Assignment
1-737460240,Accepted,In Progress
1-737460240,Queued,Awaiting Assignment
1-737460240,Accepted,In Progress
1-737460240,Completed,Resolved
1-737460240,Completed,Closed
1-737460260,Accepted,In Progress
1-737460260,Accepted,In Progress
1-737460260,Accepted,In Progress
1-737460260,Queued,Awaiting Assignment
1-737460260,Accepted,In Progress
1-737460260,Completed,Resolved
1-737460260,Accepted,Assigned
1-737460260,Accepted,In Progress
1-737460260,Queued,Awaiting Assignment
1-737460260,Accepted,In Progress
1-737460260,Queued,Awaiting Assignment
1-737460260,Accepted,In Progress
1-737460260,Accepted,Wait - User
1-737460260,Accepted,In Progress
1-737460260,Queued,Awaiting Assignment
1-737460260,Accepted,In Progress
1-737460260,Accepted,Wait - User
1-737460260,Accepted,In Progress
1-737460260,Completed,Resolved
1-737460260,Completed,Closed
1-737460300,Accepted,In Progress
1-737460300,Accepted,In Progress
1-737460300,Accepted,Wait - User
1-737460300,Accepted,In Progress
1-737460300,Completed,In Call
1-737460373,Accepted,In Progress
1-737460373,Accepted,In Progress
1-737460373,Accepted,In Progress
1-737460373,Queued,Awaiting Assignment
1-737460373,Accepted,In Progress
1-737460373,Accepted,In Progress
1-737460373,Queued,Awaiting Assignment
1-737460373,Accepted,In Progress
1-737460373,Accepted,Wait - Implementation
1-737460373,Completed,Resolved
1-737460373,Completed,Closed
1-737460391,Accepted,In Progress
1-737460391,Accepted,In Progress
1-737460391,Completed,In Call
1-737460436,Accepted,In Progress
1-737460436,Accepted,In Progress
1-737460436,Completed,Resolved
1-737460436,Completed,Closed
1-737460454,Accepted,In Progress
1-737460454,Accepted,In Progress
1-737460454,Accepted,Wait - User
1-737460454,Accepted,In Progress
1-737460454,Completed,In Call
1-737460481,Accepted,In Progress
1-737460481,Accepted,In Progress
1-737460481,Completed,In Call
1-737460727,Accepted,In Progress
1-737460727,Accepted,In Progress
1-737460727,Completed,In Call
1-737460731,Accepted,In Progress
1-737460731,Accepted,In Progress
1-737460731,Queued,Awaiting Assignment
1-737460731,Accepted,In Progress
1-737460731,Queued,Awaiting Assignment
1-737460731,Accepted,In Progress
1-737460731,Completed,Resolved
1-737460731,Completed,Closed
1-737460749,Accepted,In Progress
1-737460749,Accepted,In Progress
1-737460749,Queued,Awaiting Assignment
1-737460749,Accepted,In Progress
1-737460749,Queued,Awaiting Assignment
1-737460749,Accepted,In Progress
1-737460749,Accepted,Assigned
1-737460749,Accepted,In Progress
1-737460749,Completed,Resolved
1-737460749,Completed,Closed
1-737460767,Accepted,In Progress
1-737460767,Accepted,In Progress
1-737460767,Queued,Awaiting Assignment
1-737460767,Accepted,In Progress
1-737460767,Completed,Resolved
1-737460767,Completed,Closed
1-737460825,Accepted,In Progress
1-737460825,Accepted,In Progress
1-737460825,Queued,Awaiting Assignment
1-737460825,Accepted,In Progress
1-737460825,Accepted,Assigned
1-737460825,Accepted,In Progress
1-737460825,Accepted,Wait
1-737460825,Queued,Awaiting Assignment
1-737460825,Accepted,In Progress
1-737460825,Completed,Resolved
1-737460825,Completed,Closed
1-737461013,Accepted,In Progress
1-737461013,Accepted,In Progress
1-737461013,Completed,In Call
1-737461154,Accepted,In Progress
1-737461154,Accepted,In Progress
1-737461154,Accepted,Wait - User
1-737461154,Accepted,In Progress
1-737461154,Completed,In Call
1-737461181,Accepted,In Progress
1-737461181,Accepted,In Progress
1-737461181,Completed,In Call
1-737461285,Accepted,In Progress
1-737461285,Accepted,In Progress
1-737461285,Queued,Awaiting Assignment
1-737461285,Accepted,In Progress
1-737461285,Accepted,Assigned
1-737461285,Accepted,In Progress
1-737461285,Completed,Resolved
1-737461285,Completed,Closed
1-737461417,Accepted,In Progress
1-737461417,Accepted,In Progress
1-737461417,Completed,In Call
1-737461433,Accepted,In Progress
1-737461433,Accepted,In Progress
1-737461433,Completed,In Call
1-737461668,Accepted,In Progress
1-737461668,Accepted,In Progress
1-737461668,Accepted,Wait - User
1-737461668,Accepted,In Progress
1-737461668,Completed,In Call
1-737461703,Accepted,In Progress
1-737461703,Accepted,In Progress
1-737461703,Completed,In Call
1-737461747,Accepted,In Progress
1-737461747,Accepted,In Progress
1-737461747,Completed,In Call
1-737461887,Accepted,In Progress
1-737461887,Accepted,In Progress
1-737461887,Queued,Awaiting Assignment
1-737461887,Accepted,In Progress
1-737461887,Queued,Awaiting Assignment
1-737461887,Accepted,In Progress
1-737461887,Completed,Resolved
1-737461887,Completed,Closed
1-737461955,Queued,Awaiting Assignment
1-737461955,Accepted,In Progress
1-737461955,Completed,Resolved
1-737461955,Completed,Closed
1-737462301,Queued,Awaiting Assignment
1-737462301,Accepted,In Progress
1-737462301,Accepted,Wait
1-737462301,Completed,Resolved
1-737462301,Completed,Closed
1-737462313,Queued,Awaiting Assignment
1-737462313,Accepted,In Progress
1-737462313,Queued,Awaiting Assignment
1-737462313,Accepted,In Progress
1-737462313,Queued,Awaiting Assignment
1-737462313,Completed,Resolved
1-737462313,Completed,Closed
1-737462429,Queued,Awaiting Assignment
1-737462429,Accepted,In Progress
1-737462429,Completed,Resolved
1-737462429,Completed,Closed
1-737462440,Queued,Awaiting Assignment
1-737462440,Accepted,In Progress
1-737462440,Completed,Resolved
1-737462440,Completed,Closed
1-737462500,Queued,Awaiting Assignment
1-737462500,Queued,Awaiting Assignment
1-737462500,Accepted,In Progress
1-737462500,Completed,Resolved
1-737462500,Completed,Closed
1-737462627,Queued,Awaiting Assignment
1-737462627,Accepted,In Progress
1-737462627,Completed,Resolved
1-737462627,Completed,Closed
1-737462837,Queued,Awaiting Assignment
1-737462837,Queued,Awaiting Assignment
1-737462837,Accepted,In Progress
1-737462837,Completed,Resolved
1-737462837,Completed,Closed
1-737463991,Accepted,In Progress
1-737463991,Accepted,In Progress
1-737463991,Queued,Awaiting Assignment
1-737463991,Accepted,In Progress
1-737463991,Queued,Awaiting Assignment
1-737463991,Accepted,In Progress
1-737463991,Queued,Awaiting Assignment
1-737463991,Accepted,In Progress
1-737463991,Completed,Resolved
1-737463991,Completed,Closed
1-737464026,Accepted,In Progress
1-737464026,Accepted,In Progress
1-737464026,Queued,Awaiting Assignment
1-737464026,Accepted,In Progress
1-737464026,Completed,Resolved
1-737464026,Completed,Closed
1-737464075,Accepted,In Progress
1-737464075,Accepted,In Progress
1-737464075,Completed,In Call
1-737464121,Accepted,In Progress
1-737464121,Accepted,In Progress
1-737464121,Queued,Awaiting Assignment
1-737464121,Accepted,In Progress
1-737464121,Queued,Awaiting Assignment
1-737464121,Queued,Awaiting Assignment
1-737464121,Accepted,In Progress
1-737464121,Queued,Awaiting Assignment
1-737464121,Queued,Awaiting Assignment
1-737464121,Accepted,In Progress
1-737464121,Accepted,Assigned
1-737464121,Accepted,In Progress
1-737464121,Queued,Awaiting Assignment
1-737464121,Accepted,In Progress
1-737464121,Completed,Resolved
1-737464121,Accepted,In Progress
1-737464121,Queued,Awaiting Assignment
1-737464121,Accepted,In Progress
1-737464121,Queued,Awaiting Assignment
1-737464121,Accepted,In Progress
1-737464121,Completed,Resolved
1-737464121,Completed,Closed
1-737464558,Accepted,In Progress
1-737464558,Accepted,In Progress
1-737464558,Completed,Resolved
1-737464558,Completed,Closed
1-737464591,Accepted,In Progress
1-737464591,Accepted,In Progress
1-737464591,Completed,In Call
1-737464711,Accepted,In Progress
1-737464711,Accepted,In Progress
1-737464711,Queued,Awaiting Assignment
1-737464711,Accepted,In Progress
1-737464711,Completed,Resolved
1-737464711,Completed,Closed
1-737464766,Accepted,In Progress
1-737464766,Accepted,In Progress
1-737464766,Queued,Awaiting Assignment
1-737464766,Accepted,In Progress
1-737464766,Queued,Awaiting Assignment
1-737464766,Accepted,In Progress
1-737464766,Completed,Resolved
1-737464766,Completed,Closed
1-738144182,Accepted,In Progress
1-738144182,Accepted,In Progress
1-738144182,Accepted,Wait - User
1-738144182,Accepted,Wait - User
1-738144182,Completed,Resolved
1-738144182,Completed,Closed
1-738144221,Accepted,In Progress
1-738144221,Accepted,In Progress
1-738144221,Completed,In Call
1-738144305,Accepted,In Progress
1-738144305,Accepted,In Progress
1-738144305,Accepted,Wait - User
1-738144305,Completed,Resolved
1-738144305,Completed,Closed
1-738144401,Accepted,In Progress
1-738144401,Accepted,In Progress
1-738144401,Completed,In Call
1-738144468,Accepted,In Progress
1-738144468,Accepted,In Progress
1-738144468,Completed,Resolved
1-738144468,Completed,Closed
1-738144561,Accepted,In Progress
1-738144561,Accepted,In Progress
1-738144561,Completed,In Call
1-738144681,Accepted,In Progress
1-738144681,Accepted,In Progress
1-738144681,Completed,In Call
1-738144751,Accepted,In Progress
1-738144751,Accepted,In Progress
1-738144751,Completed,In Call
1-738144751,Completed,In Call
1-738144751,Accepted,In Progress
1-738144751,Accepted,Wait - Implementation
1-738144751,Accepted,In Progress
1-738144751,Accepted,Wait
1-738144751,Accepted,In Progress
1-738144751,Completed,Resolved
1-738144751,Completed,Closed
1-738145903,Accepted,In Progress
1-738145903,Accepted,In Progress
1-738145903,Accepted,Wait - User
1-738145903,Accepted,In Progress
1-738145903,Completed,In Call
1-738145940,Accepted,In Progress
1-738145940,Accepted,In Progress
1-738145940,Queued,Awaiting Assignment
1-738145940,Accepted,In Progress
1-738145940,Accepted,Wait - User
1-738145940,Completed,Resolved
1-738145940,Completed,Closed
1-738145941,Accepted,In Progress
1-738145941,Accepted,In Progress
1-738145941,Completed,In Call
1-738145941,Completed,In Call
1-738145941,Accepted,In Progress
1-738145941,Queued,Awaiting Assignment
1-738145941,Accepted,In Progress
1-738145941,Queued,Awaiting Assignment
1-738145941,Accepted,In Progress
1-738145941,Queued,Awaiting Assignment
1-738145941,Accepted,In Progress
1-738145941,Accepted,Wait - User
1-738145941,Accepted,In Progress
1-738145941,Queued,Awaiting Assignment
1-738145941,Accepted,In Progress
1-738145941,Completed,Resolved
1-738145941,Completed,Closed
1-738145960,Accepted,In Progress
1-738145960,Accepted,In Progress
1-738145960,Completed,In Call
1-738146007,Accepted,In Progress
1-738146007,Accepted,In Progress
1-738146007,Queued,Awaiting Assignment
1-738146007,Accepted,In Progress
1-738146007,Accepted,Assigned
1-738146007,Accepted,In Progress
1-738146007,Accepted,Wait - User
1-738146007,Completed,Resolved
1-738146007,Completed,Closed
1-738146155,Accepted,In Progress
1-738146155,Accepted,In Progress
1-738146155,Queued,Awaiting Assignment
1-738146155,Accepted,In Progress
1-738146155,Completed,Resolved
1-738146155,Completed,Closed
1-738146201,Accepted,In Progress
1-738146201,Accepted,In Progress
1-738146201,Queued,Awaiting Assignment
1-738146201,Accepted,In Progress
1-738146201,Completed,Resolved
1-738146201,Completed,Closed
1-738146219,Accepted,In Progress
1-738146219,Accepted,In Progress
1-738146219,Queued,Awaiting Assignment
1-738146219,Accepted,In Progress
1-738146219,Completed,Resolved
1-738146219,Completed,Closed
1-738146249,Accepted,In Progress
1-738146249,Accepted,In Progress
1-738146249,Queued,Awaiting Assignment
1-738146249,Accepted,In Progress
1-738146249,Completed,Resolved
1-738146249,Completed,Closed
1-738146321,Accepted,In Progress
1-738146321,Accepted,In Progress
1-738146321,Queued,Awaiting Assignment
1-738146321,Accepted,In Progress
1-738146321,Completed,Resolved
1-738146321,Completed,Closed
1-738146352,Accepted,In Progress
1-738146352,Accepted,In Progress
1-738146352,Queued,Awaiting Assignment
1-738146352,Accepted,In Progress
1-738146352,Completed,Resolved
1-738146352,Completed,Closed
1-738146430,Accepted,In Progress
1-738146430,Accepted,In Progress
1-738146430,Queued,Awaiting Assignment
1-738146430,Accepted,In Progress
1-738146430,Completed,Resolved
1-738146430,Completed,Closed
1-738146459,Accepted,In Progress
1-738146459,Accepted,In Progress
1-738146459,Completed,Resolved
1-738146459,Completed,Closed
1-738146517,Accepted,In Progress
1-738146517,Accepted,In Progress
1-738146517,Queued,Awaiting Assignment
1-738146517,Accepted,In Progress
1-738146517,Queued,Awaiting Assignment
1-738146517,Accepted,In Progress
1-738146517,Accepted,Wait
1-738146517,Completed,Resolved
1-738146517,Completed,Closed
1-738146539,Accepted,In Progress
1-738146539,Accepted,In Progress
1-738146539,Queued,Awaiting Assignment
1-738146539,Accepted,In Progress
1-738146539,Completed,Resolved
1-738146539,Completed,Closed
1-738146571,Accepted,In Progress
1-738146571,Accepted,In Progress
1-738146571,Queued,Awaiting Assignment
1-738146571,Accepted,In Progress
1-738146571,Completed,Resolved
1-738146571,Completed,Closed
1-738146601,Accepted,In Progress
1-738146601,Accepted,In Progress
1-738146601,Queued,Awaiting Assignment
1-738146601,Accepted,In Progress
1-738146601,Completed,Resolved
1-738146601,Completed,Closed
1-738146751,Accepted,In Progress
1-738146751,Accepted,In Progress
1-738146751,Queued,Awaiting Assignment
1-738146751,Accepted,In Progress
1-738146751,Queued,Awaiting Assignment
1-738146751,Accepted,In Progress
1-738146751,Queued,Awaiting Assignment
1-738146751,Accepted,In Progress
1-738146751,Queued,Awaiting Assignment
1-738146751,Accepted,In Progress
1-738146751,Accepted,Wait
1-738146751,Accepted,In Progress
1-738146751,Completed,Resolved
1-738146751,Completed,Closed
1-738146770,Accepted,In Progress
1-738146770,Accepted,In Progress
1-738146770,Queued,Awaiting Assignment
1-738146770,Accepted,In Progress
1-738146770,Queued,Awaiting Assignment
1-738146770,Accepted,In Progress
1-738146770,Queued,Awaiting Assignment
1-738146770,Accepted,In Progress
1-738146770,Queued,Awaiting Assignment
1-738146770,Accepted,In Progress
1-738146770,Completed,Resolved
1-738146770,Completed,Closed
1-738146911,Accepted,In Progress
1-738146911,Accepted,In Progress
1-738146911,Queued,Awaiting Assignment
1-738146911,Accepted,In Progress
1-738146911,Completed,Resolved
1-738146911,Completed,Closed
1-738146991,Accepted,In Progress
1-738146991,Accepted,In Progress
1-738146991,Queued,Awaiting Assignment
1-738146991,Accepted,In Progress
1-738146991,Queued,Awaiting Assignment
1-738146991,Accepted,In Progress
1-738146991,Queued,Awaiting Assignment
1-738146991,Accepted,In Progress
1-738146991,Accepted,Wait - User
1-738146991,Completed,Resolved
1-738146991,Completed,Closed
1-738147151,Accepted,In Progress
1-738147151,Accepted,In Progress
1-738147151,Completed,Resolved
1-738147151,Completed,Closed
1-738147262,Accepted,In Progress
1-738147262,Accepted,In Progress
1-738147262,Queued,Awaiting Assignment
1-738147262,Accepted,In Progress
1-738147262,Completed,Resolved
1-738147262,Completed,Closed
1-738147271,Accepted,In Progress
1-738147271,Accepted,In Progress
1-738147271,Queued,Awaiting Assignment
1-738147271,Accepted,In Progress
1-738147271,Accepted,Assigned
1-738147271,Accepted,In Progress
1-738147271,Completed,Resolved
1-738147271,Completed,Closed
1-738147414,Accepted,In Progress
1-738147414,Accepted,In Progress
1-738147414,Queued,Awaiting Assignment
1-738147414,Accepted,In Progress
1-738147414,Accepted,Assigned
1-738147414,Accepted,In Progress
1-738147414,Accepted,Assigned
1-738147414,Accepted,In Progress
1-738147414,Accepted,Wait - User
1-738147414,Completed,Resolved
1-738147414,Completed,Closed
1-738148003,Accepted,In Progress
1-738148003,Accepted,In Progress
1-738148003,Completed,In Call
1-738148003,Accepted,In Progress
1-738148003,Completed,Resolved
1-738148003,Completed,Closed
1-738148163,Accepted,In Progress
1-738148163,Accepted,In Progress
1-738148163,Completed,In Call
1-738148271,Accepted,In Progress
1-738148271,Accepted,In Progress
1-738148271,Completed,In Call
1-738148291,Accepted,In Progress
1-738148291,Accepted,In Progress
1-738148291,Queued,Awaiting Assignment
1-738148291,Accepted,In Progress
1-738148291,Queued,Awaiting Assignment
1-738148291,Accepted,In Progress
1-738148291,Completed,Resolved
1-738148291,Completed,Closed
1-738148308,Accepted,In Progress
1-738148308,Accepted,In Progress
1-738148308,Completed,In Call
1-738148832,Accepted,In Progress
1-738148832,Accepted,In Progress
1-738148832,Completed,In Call
1-738149109,Accepted,In Progress
1-738149109,Accepted,In Progress
1-738149109,Queued,Awaiting Assignment
1-738149109,Accepted,In Progress
1-738149109,Accepted,Wait
1-738149109,Completed,Resolved
1-738149109,Completed,Closed
1-738149111,Accepted,In Progress
1-738149111,Accepted,In Progress
1-738149111,Queued,Awaiting Assignment
1-738149111,Accepted,In Progress
1-738149111,Queued,Awaiting Assignment
1-738149111,Accepted,In Progress
1-738149111,Queued,Awaiting Assignment
1-738149111,Accepted,In Progress
1-738149111,Queued,Awaiting Assignment
1-738149111,Accepted,In Progress
1-738149111,Queued,Awaiting Assignment
1-738149111,Accepted,In Progress
1-738149111,Queued,Awaiting Assignment
1-738149111,Accepted,In Progress
1-738149111,Queued,Awaiting Assignment
1-738149111,Accepted,In Progress
1-738149111,Completed,Resolved
1-738149111,Completed,Closed
1-738149182,Accepted,In Progress
1-738149182,Accepted,In Progress
1-738149182,Completed,In Call
1-738149231,Accepted,In Progress
1-738149231,Accepted,In Progress
1-738149231,Completed,In Call
1-738149241,Accepted,In Progress
1-738149241,Accepted,In Progress
1-738149241,Completed,In Call
1-738149268,Accepted,In Progress
1-738149268,Accepted,In Progress
1-738149268,Completed,Resolved
1-738149268,Completed,Closed
1-738149466,Accepted,In Progress
1-738149466,Accepted,In Progress
1-738149466,Completed,Resolved
1-738149466,Completed,Closed
1-738149596,Accepted,In Progress
1-738149596,Accepted,In Progress
1-738149596,Accepted,Wait - Implementation
1-738149596,Accepted,In Progress
1-738149596,Completed,Resolved
1-738149596,Completed,Closed
1-738149711,Accepted,In Progress
1-738149711,Accepted,In Progress
1-738149711,Completed,Resolved
1-738149711,Completed,Closed
1-738149767,Accepted,In Progress
1-738149767,Accepted,In Progress
1-738149767,Queued,Awaiting Assignment
1-738149767,Accepted,In Progress
1-738149767,Accepted,Assigned
1-738149767,Accepted,In Progress
1-738149767,Completed,Resolved
1-738149767,Completed,Closed
1-738149917,Queued,Awaiting Assignment
1-738149917,Accepted,In Progress
1-738149917,Accepted,Wait - User
1-738149917,Accepted,In Progress
1-738149917,Completed,Resolved
1-738149917,Completed,Closed
1-738149941,Queued,Awaiting Assignment
1-738149941,Accepted,In Progress
1-738149941,Completed,Resolved
1-738149941,Completed,Closed
1-738150125,Queued,Awaiting Assignment
1-738150125,Accepted,In Progress
1-738150125,Completed,Resolved
1-738150125,Completed,Closed
1-738150136,Queued,Awaiting Assignment
1-738150136,Accepted,In Progress
1-738150136,Completed,Resolved
1-738150136,Completed,Closed
1-738150263,Queued,Awaiting Assignment
1-738150263,Accepted,In Progress
1-738150263,Completed,Resolved
1-738150263,Completed,Closed
1-738150285,Queued,Awaiting Assignment
1-738150285,Accepted,In Progress
1-738150285,Completed,Resolved
1-738150285,Completed,Closed
1-738150318,Queued,Awaiting Assignment
1-738150318,Accepted,In Progress
1-738150318,Completed,Resolved
1-738150318,Completed,Closed
1-738150329,Queued,Awaiting Assignment
1-738150329,Accepted,In Progress
1-738150329,Completed,Resolved
1-738150329,Completed,Closed
1-738150471,Queued,Awaiting Assignment
1-738150471,Accepted,In Progress
1-738150471,Completed,Resolved
1-738150471,Completed,Closed
1-738150482,Queued,Awaiting Assignment
1-738150482,Accepted,In Progress
1-738150482,Completed,Resolved
1-738150482,Completed,Closed
1-738150529,Queued,Awaiting Assignment
1-738150529,Accepted,In Progress
1-738150529,Completed,Resolved
1-738150529,Completed,Closed
1-738150611,Queued,Awaiting Assignment
1-738150611,Accepted,In Progress
1-738150611,Queued,Awaiting Assignment
1-738150611,Accepted,In Progress
1-738150611,Completed,Resolved
1-738150611,Completed,Closed
1-738150646,Queued,Awaiting Assignment
1-738150646,Accepted,In Progress
1-738150646,Completed,Resolved
1-738150646,Completed,Closed
1-738150716,Queued,Awaiting Assignment
1-738150716,Accepted,In Progress
1-738150716,Completed,Resolved
1-738150716,Completed,Closed
1-738150892,Queued,Awaiting Assignment
1-738150892,Accepted,In Progress
1-738150892,Completed,Resolved
1-738150892,Completed,Closed
1-738151913,Accepted,In Progress
1-738151913,Accepted,In Progress
1-738151913,Queued,Awaiting Assignment
1-738151913,Accepted,In Progress
1-738151913,Queued,Awaiting Assignment
1-738151913,Accepted,In Progress
1-738151913,Queued,Awaiting Assignment
1-738151913,Accepted,In Progress
1-738151913,Queued,Awaiting Assignment
1-738151913,Accepted,In Progress
1-738151913,Accepted,Assigned
1-738151913,Accepted,In Progress
1-738151913,Queued,Awaiting Assignment
1-738151913,Queued,Awaiting Assignment
1-738151913,Accepted,In Progress
1-738151913,Completed,Resolved
1-738151913,Completed,Closed
1-738151944,Accepted,In Progress
1-738151944,Accepted,In Progress
1-738151944,Completed,Resolved
1-738151944,Completed,Closed
1-738152084,Accepted,In Progress
1-738152084,Accepted,In Progress
1-738152084,Accepted,Wait - User
1-738152084,Accepted,In Progress
1-738152084,Accepted,Wait - User
1-738152084,Accepted,In Progress
1-738152084,Completed,Resolved
1-738152084,Completed,Closed
1-738153171,Accepted,In Progress
1-738153171,Accepted,In Progress
1-738153171,Completed,In Call
1-738153300,Accepted,In Progress
1-738153300,Accepted,In Progress
1-738153300,Completed,In Call
1-738153345,Accepted,In Progress
1-738153345,Accepted,In Progress
1-738153345,Queued,Awaiting Assignment
1-738153345,Accepted,In Progress
1-738153345,Accepted,Wait
1-738153345,Accepted,Wait - Vendor
1-738153345,Completed,Resolved
1-738153345,Completed,Closed
1-738153421,Accepted,In Progress
1-738153421,Accepted,In Progress
1-738153421,Completed,In Call
1-738153473,Accepted,In Progress
1-738153473,Accepted,In Progress
1-738153473,Completed,In Call
1-738153659,Accepted,In Progress
1-738153659,Accepted,In Progress
1-738153659,Completed,In Call
1-738153732,Accepted,In Progress
1-738153732,Accepted,In Progress
1-738153732,Completed,Resolved
1-738153732,Completed,Closed
1-738153815,Accepted,In Progress
1-738153815,Accepted,In Progress
1-738153815,Accepted,In Progress
1-738153815,Queued,Awaiting Assignment
1-738153815,Accepted,In Progress
1-738153815,Queued,Awaiting Assignment
1-738153815,Accepted,In Progress
1-738153815,Accepted,Wait - User
